Introduction Date,2021_06_09,,,,,,,,
,,,,,,,,,
crabID,startLoc,collectionLocation(Lat/Lon),collectionLocationName,species,assumedStage,photographFile,Chmbr,Pnum,Well
CH07_2021_06_09_SEQ02,52_W1,"48.416585, -122.663186",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,1
CH07_2021_06_09_SEQ03,52_W1,"48.416585, -122.663187",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,1
CH07_2021_06_09_SEQ01,52_W2,"48.416585, -122.663188",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,2
CH07_2021_06_09_SEQ02,52_W2,"48.416585, -122.663189",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,2
CH07_2021_06_09_SEQ03,52_W2,"48.416585, -122.663190",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,2
CH07_2021_06_09_SEQ01,52_W3,"48.416585, -122.663191",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,3
CH07_2021_06_09_SEQ02,52_W3,"48.416585, -122.663192",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,3
CH07_2021_06_09_SEQ03,52_W3,"48.416585, -122.663193",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,3
CH07_2021_06_09_SEQ01,52_W4,"48.416585, -122.663194",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,4
CH07_2021_06_09_SEQ02,52_W4,"48.416585, -122.663195",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,4
CH07_2021_06_09_SEQ03,52_W4,"48.416585, -122.663196",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,4
CH07_2021_06_09_SEQ01,52_W5,"48.416585, -122.663197",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,5
CH07_2021_06_09_SEQ02,52_W5,"48.416585, -122.663198",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,5
CH07_2021_06_09_SEQ03,52_W5,"48.416585, -122.663199",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,5
CH07_2021_06_09_SEQ01,52_W6,"48.416585, -122.663200",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,6
CH07_2021_06_09_SEQ02,52_W6,"48.416585, -122.663201",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,6
CH07_2021_06_09_SEQ03,52_W6,"48.416585, -122.663202",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,6
