sequence,species,n_individuals.per.Vial,lifeStage,Chamber,wellLocation,container,collectionDate,preservationDate,preservationMaterial,preservationExpression,collectionLocation,collectionCoordinates(LAT),collectionCoordinates(LON),collectionMaterial
35,poss.C.Magister,1,J1_instar,CH06,W6_73_02,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH06_W6_73_02_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
36,poss.C.Magister,1,megMOLT,CH06,W6_91_03,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH06_W6_91_03_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
37,poss.C.Magister,1,J1_instar,CH06,W6_91_03,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH06_W6_91_03_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
38,poss.C.Magister,1,megMOLT,CH07,W6_93_02,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH07_W6_93_02_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
39,poss.C.Magister,1,J1_instar,CH07,W6_93_02,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH07_W6_93_02_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
40,poss.C.Magister,1,megMOLT,CH07,W6_121_W2,2.5mL,6/16/2021,7/1/2021,EtOH,"""7/1/21_poss_C.magister_CH07_W6_121_W2_krillhunt_megmolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
41,poss.C.Magister,1,J1_instar,CH07,W6_121_W2,2.5mL,6/16/2021,7/1/2021,EtOH,"""7/1/21_poss_C.magister_CH07_W6_121_W2_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
42,poss.C.Magister,1,megMOLT,CH06,W6_91_06,2.5mL,6/16/2021,7/1/2021,EtOH,"""7/1/21_poss_C.magister_CH06_W6_91_W6_krillhunt_megmolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
43,poss.C.Magister,1,J1_instar,CH06,W6_91_06,2.5mL,6/16/2021,7/1/2021,EtOH,"""7/1/21_poss_C.magister_CH06_W6_91_W6_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
44,poss.C.Magister,1,megMOLT,CH06,W6_73_04,2.5mL,6/16/2021,7/1/2021,EtOH,"""7/1/21_poss_C.magister_CH06_W6_73_W4_krillhunt_megmolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
45,poss.C.Magister,1,J1_instar,CH06,W6_73_04,2.5mL,6/16/2021,7/1/2021,EtOH,"""7/1/21_poss_C.magister_CH06_W6_73_W4_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
46,poss.C.Magister,1,J1_instar,CH06,W6_73_03,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_W6_73_W3_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
47,poss.C.Magister,1,J1_instar,CH06,W6_73_05,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_W6_73_W5_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
48,poss.C.Magister,1,J1_instar,CH06,W6_130_04,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_W6_130_W4_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
49,poss.C.Magister,1,megMOLT,CH06,W6_130_03,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_krill_hunt_W6_130_W3_MEG_MOLT""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
50,poss.C.Magister,1,J1_instar,CH06,W6_130_03,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_W6_130_03_krill_hunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
51,poss.C.Magister,1,megMOLT,CH06,W6_64_W1,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_W6_64_W1_krillhunt_MEG_MOLT""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
52,poss.C.Magister,1,J1_instar,CH06,W6_64_W1,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_W6_64_W1_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
53,poss.C.Magister,1,J1_instar,CH06,W6_91_05,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH06_W6_91_W5_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
54,poss.C.Magister,1,J1_instar,CH07,W6_93_06,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH07_W6_93_W6_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
55,poss.C.Magister,1,J1_instar,CH07,W6_109_02,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH07_W6_109_W2_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
56,poss.C.Magister,1,J1_instar,CH07,W6_109_03,2.5mL,6/16/2021,7/6/2021,EtOH,"""7/6/21_poss_C.magister_CH07_W6_109_W3_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
57,poss.C.Magister,1,megMOLT,CH06,W6_130_06,2.5mL,6/16/2021,7/7/2021,EtOH,"""7/7/21_poss_C.magister_CH06_W6_130_W6_krill_hunt_MEG_MOLT""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
58,poss.C.Magister,1,J1_instar,CH06,W6_130_06,2.5mL,6/16/2021,7/7/2021,EtOH,"""7/7/21_poss_C.magister_CH06_W6_130_W6_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
59,poss.C.Magister,1,megMOLT,CH07,W6_92_04,2.5mL,6/16/2021,7/7/2021,EtOH,"""7/7/21_poss_C.magister_CH07_W6_92_W4_krillhunt_megMOLT""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
60,poss.C.Magister,1,J1_instar,CH07,W6_92_04,2.5mL,6/16/2021,7/7/2021,EtOH,"""7/7/21_poss_C.magister_CH07_W6_92_W4_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
61,poss.C.Magister,1,J1_instar,CH06,W6_91_01,2.5mL,6/16/2021,7/12/2021,EtOH,"""7/12/21_poss_C.magister_CH06_W6_91_W1_krill_hunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
62,poss.C.Magister,1,megalopae,CH06,W6_64_02,2.5mL,6/16/2021,7/14/2021,EtOH,"""7/14/21_poss_C.magister_CH06_W6_64_W2_krillhunt_MEG_not_MOLT""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
63,poss.C.Magister,1,megalopae,CH07,W6_93_04,2.5mL,6/16/2021,7/14/2021,EtOH,"""7/14/21_poss_C.magister_CH07_W6_93_04_krill_hunt_(meg not molt)""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
64,poss.C.Magister,1,megalopae,CH06,W6_64_04,2.5mL,6/16/2021,7/14/2021,EtOH,"""7/14/21_poss_C.magister_CH06_W6_64_04_(meg not molt)""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
65,poss.C.Magister,1,megalopae,CH06,W6_91_W2,2.5mL,6/16/2021,7/14/2021,EtOH,"""7/14/21_poss_C.magister_CH06_W6_91_W2_KRILLHUNT_MEG_NOT_MOLT""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
66,poss.C.Magister,1,megalopae,CH06,W6_91_04,2.5mL,6/16/2021,7/14/2021,EtOH,"""7/14_poss_C.magister_CH06_W6_91_W4_KRILLHUNT_MEG_NOT_MOLT""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
